30,NUM,94857.0
24,all,90929.0
298,nt,88869.0
108,like,84651.0
57,book,75799.0
433,about,68497.0
167,great,67313.0
56,good,67101.0
101,time,65303.0
23,get,61018.0
88,will,59823.0
505,make,56163.0
116,read,52345.0
17,love,51840.0
315,first,48033.0
254,stori,47632.0
49,also,47378.0
64,no,44990.0
380,realli,44408.0
103,even,43848.0
233,best,42816.0
151,work,41140.0
406,mani,40797.0
128,been,39666.0
242,year,39480.0
1195,movi,39448.0
46,after,35078.0
40,song,34045.0
126,becaus,33880.0
972,look,33858.0
681,charact,33412.0
647,find,33008.0
515,life,33000.0
93,ani,32972.0
425,still,32590.0
33,new,32442.0
750,thing,32431.0
455,music,32280.0
166,peopl,32158.0
199,enjoy,32043.0
1118,end,31696.0
58,album,31492.0
839,recommend,31483.0
451,give,30199.0
577,littl,30189.0
468,film,29841.0
624,play,29670.0
678,over,29643.0
329,better,29431.0
285,back,29423.0
1088,never,28693.0
608,high,28343.0
196,interest,28163.0
161,live,28098.0
291,seem,26106.0
992,sound,25747.0
289,made,25579.0
353,through,25559.0
67,show,25157.0
121,lot,24623.0
752,fan,24507.0
761,ve,24408.0
700,anoth,24184.0
226,world,24117.0
1533,feel,24115.0
739,ever,23986.0
1022,day,23735.0
690,set,22999.0
230,start,22889.0
28,need,22865.0
1215,cd,22835.0
339,few,22794.0
220,man,22287.0
355,befor,21817.0
155,star,21564.0
1398,down,21431.0
438,everi,21423.0
140,part,21201.0
188,both,21151.0
324,author,21147.0
434,includ,21135.0
403,put,21080.0
1451,watch,20956.0
246,differ,20949.0
387,write,20454.0
1191,long,20337.0
109,found,20274.0
243,old,20109.0
390,review,20041.0
691,help,19698.0
281,must,19636.0
375,each,19591.0
169,someth,19405.0
195,person,19338.0
1880,right,19278.0
371,last,19184.0
253,excel,19079.0
127,alway,18990.0
1849,track,18920.0
959,real,18539.0
586,thought,18535.0
1600,bad,18239.0
483,listen,18205.0
1636,again,18149.0
864,buy,18037.0
351,hard,18015.0
738,record,17968.0
428,quit,17945.0
625,beauti,17911.0
276,classic,17896.0
318,howev,17807.0
392,favorit,17624.0
987,bit,17565.0
1359,origin,17324.0
186,place,17018.0
2145,quot,16911.0
759,ll,16828.0
699,around,16828.0
312,turn,16688.0
657,worth,16575.0
327,seri,16514.0
274,friend,16419.0
172,written,16259.0
966,actual,16228.0
669,point,16055.0
308,believ,16017.0
786,becom,15963.0
249,between,15961.0
110,enough,15898.0
37,famili,15863.0
416,collect,15777.0
52,releas,15684.0
1673,scene,15677.0
751,ca,15625.0
961,fun,15496.0
1971,big,15165.0
165,young,14964.0
1120,band,14963.0
591,novel,14850.0
3054,done,14789.0
1209,fact,14624.0
2212,perform,14588.0
1848,perfect,14581.0
677,reader,14482.0
679,nice,14457.0
1704,away,14358.0
1936,plot,14335.0
286,cover,14278.0
496,call,14267.0
347,almost,14249.0
295,true,14217.0
356,begin,14142.0
901,anyon,14048.0
1221,pretti,13979.0
1757,final,13967.0
372,histori,13945.0
290,far,13933.0
729,power,13848.0
480,follow,13780.0
1284,especi,13750.0
1502,act,13736.0
717,noth,13533.0
832,along,13451.0
63,version,13440.0
1047,move,13414.0
202,page,13384.0
940,second,13370.0
986,learn,13336.0
2432,chang,13216.0
719,rock,13154.0
1067,happen,13131.0
73,hit,12981.0
217,job,12957.0
804,style,12943.0
178,probabl,12742.0
1563,understand,12644.0
668,mean,12603.0
1202,dvd,12506.0
170,although,12494.0
1050,hope,12460.0
156,complet,12370.0
1200,mind,12280.0
692,reason,12207.0
643,kind,12020.0
257,full,12007.0
508,cours,11997.0
482,easi,11956.0
86,everyth,11937.0
722,guy,11883.0
1298,featur,11795.0
360,home,11788.0
114,definit,11773.0
1355,sever,11754.0
175,certain,11751.0
283,expect,11737.0
1029,next,11681.0
3017,amaz,11509.0
574,word,11504.0
612,voic,11490.0
369,hear,11460.0
98,short,11443.0
814,problem,11434.0
466,heard,11361.0
1248,qualiti,11315.0
69,girl,11228.0
68,top,11222.0
124,action,11219.0
1489,american,11177.0
2743,anyth,11168.0
256,open,11157.0
299,care,11081.0
777,miss,11008.0
847,experi,10978.0
1019,dure,10948.0
282,surpris,10879.0
1506,earli,10852.0
599,funni,10851.0
603,war,10817.0
9,line,10776.0
325,present,10707.0
1053,least,10669.0
22,bring,10610.0
615,woman,10577.0
745,leav,10564.0
1045,idea,10541.0
778,run,10537.0
131,detail,10526.0
297,titl,10497.0
1531,pick,10495.0
346,product,10494.0
588,import,10349.0
171,clear,10295.0
1517,hand,10245.0
421,less,10243.0
135,entertain,10241.0
326,rather,10228.0
2655,left,10220.0
71,today,10111.0
896,effect,10050.0
335,main,9995.0
1493,heart,9978.0
500,overal,9947.0
991,everyon,9931.0
687,age,9870.0
134,pictur,9857.0
432,later,9849.0
1122,creat,9840.0
2982,special,9805.0
1114,small,9760.0
1339,provid,9752.0
130,strong,9696.0
817,kid,9685.0
503,side,9643.0
330,case,9622.0
306,lead,9566.0
1044,money,9537.0
2024,truli,9518.0
2028,death,9510.0
1456,human,9481.0
181,inform,9385.0
1346,deal,9348.0
212,simpli,9340.0
262,note,9297.0
340,children,9291.0
962,sens,9275.0
842,someon,9268.0
673,john,9267.0
2437,direct,9199.0
70,group,9095.0
670,view,9076.0
1023,boy,9055.0
1879,past,8997.0
1577,night,8980.0
805,close,8974.0
1748,rememb,8926.0
737,talk,8911.0
1009,particular,8879.0
1523,fine,8869.0
1629,mysteri,8805.0
1833,fall,8771.0
742,bought,8718.0
963,except,8707.0
809,black,8687.0
2897,stuff,8670.0
749,coupl,8660.0
1525,price,8649.0
338,NUMs,8642.0
419,kill,8587.0
1442,minut,8581.0
490,instead,8541.0
25,cast,8540.0
1069,rest,8513.0
713,exampl,8503.0
3555,singl,8495.0
38,piec,8493.0
3353,light,8478.0
418,disappoint,8430.0
1539,wish,8421.0
41,head,8419.0
382,offer,8411.0
235,order,8387.0
122,sing,8385.0
571,number,8364.0
436,decid,8353.0
238,develop,8291.0
462,consid,8290.0
1310,moment,8273.0
793,school,8268.0
1158,base,8254.0
2042,appear,8246.0
1972,continu,8230.0
1061,face,8229.0
1091,els,8218.0
1536,die,8203.0
1225,stand,8202.0
412,entir,8193.0
1212,artist,8155.0
168,abl,8141.0
385,question,8125.0
1056,add,8089.0
215,writer,8006.0
1609,wo,7987.0
1738,tale,7980.0
77,talent,7978.0
1452,alreadi,7973.0
1942,game,7960.0
693,father,7951.0
3300,emot,7943.0
2228,wrong,7942.0
1190,wait,7927.0
1017,hous,7912.0
492,basic,7904.0
3009,vocal,7902.0
440,contain,7856.0
255,eye,7850.0
